fname,itp,tp_prob,its,ts_prob
GS.OK025.mseed_0,[4155],[0.9551845],[5021],[0.7355671]
NX.STN02.mseed_0,[4191],[0.9475582],[5048],[0.3355635]
GS.OK026.mseed_0,[4458],[0.93156016],[5573],[0.53762156]
GS.OK029.mseed_0,[4149],[0.97122586],[4965],[0.67670363]
N4.T35B.mseed_0,[4883],[0.8382103],[6197],[0.51093584]
GS.OK028.mseed_0,[3919],[0.94424516],[4574],[0.8292114]
GS.OK027.mseed_0,[3972],[0.9643337],[],[]
NX.STN01.mseed_0,[4420],[0.89755785],[5461],[0.61330724]
GS.OK025.mseed_14000,[11155],[0.9414599],[12021],[0.70475876]
NX.STN01.mseed_14000,[11419],[0.93338674],[12459],[0.61209637]
N4.T35B.mseed_14000,[11884],[0.8469796],[13195],[0.35696167]
GS.OK027.mseed_14000,[10971],[0.9588308],[],[]
GS.OK029.mseed_14000,[11149],[0.9674039],[11971],[0.6331905]
GS.OK028.mseed_14000,[10919],[0.9388353],[11573],[0.870758]
NX.STN02.mseed_14000,[11191],[0.94877905],[12049],[0.6449773]
GS.OK026.mseed_14000,[11459],[0.92184037],[12565],[0.5946893]
NX.STN09.mseed_0,[3943],[0.92918366],[],[]
NX.STN03.mseed_0,[3708],[0.9549322],[4213],[0.85233945]
NX.STN08.mseed_0,[4247],[0.9448944],[5123],[0.6336977]
NX.STN05.mseed_0,[3335],[0.93994105],[3561],[0.83380646]
NX.STN07.mseed_0,[4638],[0.9506445],[5802],[0.8205594]
NX.STN06.mseed_0,[3542],[0.95168054],[3913],[0.79935414]
NX.STN10.mseed_0,[3525],[0.96203],[3892],[0.7520737]
NX.STN04.mseed_0,[3319],[0.96836156],[3539],[0.836662]
NX.STN09.mseed_14000,[10942],[0.93561614],[11589],[0.40094456]
NX.STN03.mseed_14000,[10708],[0.94013494],[11213],[0.79364717]
NX.STN08.mseed_14000,[11247],[0.91866916],[12121],[0.6822435]
NX.STN05.mseed_14000,[10335],[0.95295984],[10561],[0.82366896]
NX.STN07.mseed_14000,[11639],[0.9517657],[12801],[0.8056531]
NX.STN06.mseed_14000,[10542],[0.95305747],[10910],[0.73780525]
NX.STN10.mseed_14000,[10525],[0.95337754],[10893],[0.6926508]
NX.STN04.mseed_14000,[10318],[0.9638027],[10537],[0.86428213]
NX.STN17.mseed_0,[3935],[0.9654467],[4582],[0.78802913]
NX.STN11.mseed_0,[3474],[0.9625012],[3796],[0.907227]
NX.STN16.mseed_0,[3995],[0.9545086],[4676],[0.72538435]
NX.STN13.mseed_0,[4779],[0.94828546],[6040],[0.75597936]
NX.STN15.mseed_0,[4251],[0.9540542],[5125],[0.7720815]
NX.STN14.mseed_0,[4677],[0.94926],[],[]
NX.STN18.mseed_0,[3970],[0.9651357],[4621],[0.83961403]
NX.STN12.mseed_0,[3780],[0.9622208],[4299],[0.5615723]
NX.STN17.mseed_14000,[10935],[0.9573593],[11582],[0.7463457]
NX.STN11.mseed_14000,[10473],[0.95468587],[10797],[0.8905261]
NX.STN16.mseed_14000,[10996],[0.96009165],[11676],[0.7050508]
NX.STN13.mseed_14000,[11779],[0.93300915],[13041],[0.7967954]
NX.STN15.mseed_14000,[11252],[0.96013445],[12125],[0.7226212]
NX.STN14.mseed_14000,[11677],[0.94878334],[],[]
NX.STN18.mseed_14000,[10968],[0.95049924],[11621],[0.8733278]
NX.STN12.mseed_14000,[10780],[0.95125824],[11299],[0.5984223]
NX.STN34.mseed_0,[4131],[0.92864025],[4957],[0.7703648]
NX.STN20.mseed_0,[4866],[0.92989665],[6197],[0.60635257]
NX.STN33.mseed_0,[3621],[0.959619],[4057],[0.602989]
NX.STN23.mseed_0,[4524],[0.96048665],[5577],[0.64935446]
NX.STN32.mseed_0,[3842],[0.9422567],[4444],[0.64048046]
NX.STN31.mseed_0,[4153],[0.95134306],[4979],[0.35520646]
NX.STN35.mseed_0,[4008],[0.95604485],[4736],[0.48666674]
NX.STN22.mseed_0,[4563],[0.94834304],[],[]
NX.STN34.mseed_14000,[11130],[0.9438169],[11957],[0.7485091]
NX.STN20.mseed_14000,[11866],[0.9247772],[13201],[0.6448167]
NX.STN33.mseed_14000,[10620],[0.96203756],[11056],[0.56514853]
NX.STN23.mseed_14000,[11524],[0.96174353],[12576],[0.6131311]
NX.STN32.mseed_14000,[10842],[0.95131457],[11441],[0.61595887]
NX.STN31.mseed_14000,[11153],[0.9602139],[],[]
NX.STN35.mseed_14000,[11009],[0.9678917],[11728],[0.5366901]
NX.STN22.mseed_14000,[11563],[0.9542307],[],[]
TA.TUL1.mseed_0,[1804],[0.9809064],[2225],[0.8886421]
OK.BCOK.mseed_0,[4438],[0.9389693],[5492],[0.79103535]
OK.W35A.mseed_0,[4512],[0.8330708],[5648],[0.75483876]
OK.KAY1.mseed_0,[9416],[0.77500826],[11861],[0.38037392]
OK.QUOK.mseed_0,[3510],[0.954804],[3846],[0.8751397]
OK.OKCSW.mseed_0,[4465],[0.9270688],[5564],[0.66867346]
OK.FNO.mseed_0,[4655],[0.9162281],[5891],[0.6100719]
TA.TUL1.mseed_14000,[8804],[0.98106545],[9225],[0.8343526]
OK.BCOK.mseed_14000,[11438],[0.95034283],[12492],[0.7363612]
OK.W35A.mseed_14000,[11516],[0.879896],[12645],[0.78471]
OK.KAY1.mseed_14000,[1],[0.4140508],[],[]
OK.QUOK.mseed_14000,[10510],[0.96647424],[10848],[0.875831]
OK.OKCSW.mseed_14000,[11464],[0.9075694],[12563],[0.6669803]
OK.FNO.mseed_14000,[11656],[0.9108519],[12893],[0.6105242]
OK.KAY1.mseed_28000,[6999],[0.91792697],[],[]
OK.KAY1.mseed_42000,[2416],[0.8082253],[4861],[0.36660954]
